"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"SAMP1 mice_6_4w"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.05 M phosphate buffered D2O/H2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm TXI 1H/D-13C/15N XYZ-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"SAMP1 mice_6_4w"	"SAMP1 mice_6_4w/fid"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS1209_NMR___metabolite_profiling_v2_maf.tsv"
"SAMP1 mice_6_9w"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.05 M phosphate buffered D2O/H2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm TXI 1H/D-13C/15N XYZ-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"SAMP1 mice_6_9w"	"SAMP1 mice_6_9w/fid"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS1209_NMR___metabolite_profiling_v2_maf.tsv"
"SAMP1 mice_6_15w"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.05 M phosphate buffered D2O/H2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm TXI 1H/D-13C/15N XYZ-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"SAMP1 mice_6_15w"	"SAMP1 mice_6_15w/fid"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS1209_NMR___metabolite_profiling_v2_maf.tsv"
"SAMP1 mice_7_4w"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.05 M phosphate buffered D2O/H2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm TXI 1H/D-13C/15N XYZ-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"SAMP1 mice_7_4w"	"SAMP1 mice_7_4w/fid"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS1209_NMR___metabolite_profiling_v2_maf.tsv"
"SAMP1 mice_7_9w"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.05 M phosphate buffered D2O/H2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm TXI 1H/D-13C/15N XYZ-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"SAMP1 mice_7_9w"	"SAMP1 mice_7_9w/fid"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS1209_NMR___metabolite_profiling_v2_maf.tsv"
"SAMP1 mice_7_15w"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.05 M phosphate buffered D2O/H2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm TXI 1H/D-13C/15N XYZ-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"SAMP1 mice_7_15w"	"SAMP1 mice_7_15w/fid"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS1209_NMR___metabolite_profiling_v2_maf.tsv"
"SAMP1 mice_8_4w"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.05 M phosphate buffered D2O/H2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm TXI 1H/D-13C/15N XYZ-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"SAMP1 mice_8_4w"	"SAMP1 mice_8_4w/fid"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS1209_NMR___metabolite_profiling_v2_maf.tsv"
"SAMP1 mice_8_9w"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.05 M phosphate buffered D2O/H2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm TXI 1H/D-13C/15N XYZ-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"SAMP1 mice_8_9w"	"SAMP1 mice_8_9w/fid"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS1209_NMR___metabolite_profiling_v2_maf.tsv"
"SAMP1 mice_8_15w"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.05 M phosphate buffered D2O/H2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm TXI 1H/D-13C/15N XYZ-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"SAMP1 mice_8_15w"	"SAMP1 mice_8_15w/fid"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS1209_NMR___metabolite_profiling_v2_maf.tsv"
"ICR mice_1_4w"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.05 M phosphate buffered D2O/H2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm TXI 1H/D-13C/15N XYZ-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"ICR mice_1_4w"	"ICR mice_1_4w/fid"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS1209_NMR___metabolite_profiling_v2_maf.tsv"
"ICR mice_1_9w"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.05 M phosphate buffered D2O/H2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm TXI 1H/D-13C/15N XYZ-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"ICR mice_1_9w"	"ICR mice_1_9w/fid"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS1209_NMR___metabolite_profiling_v2_maf.tsv"
