sample_name,sample_name_original,sample_type,sample_group_name,sequence_segment_name,original_filename,batch_name,rack_number,plate_number,pos_number,inj_number,dilution_factor,inj_volume,inj_volume_units,operator_name,acq_method_name,proc_method_name,acquisition_date_and_time,scan_polarity,scan_mass_low,scan_mass_high
BF12_RI_1,E. coli Anaerobic Dilution 3,Unknown,EcoliAn,EcoliPputida,BF12_RI_1,b,,,,168,,20,uL,,HPLC_OA_RI,,,positive,0,0
BG1_RI_1,E. coli Anaerobic Dilution 2,Unknown,EcoliAn,EcoliPputida,BG1_RI_1,b,,,,169,,20,uL,,HPLC_OA_RI,,,positive,0,0
BG2_RI_1,E. coli Anaerobic Dilution 2,Unknown,EcoliAn,EcoliPputida,BG2_RI_1,b,,,,170,,20,uL,,HPLC_OA_RI,,,positive,0,0
BG3_RI_1,E. coli Anaerobic Dilution 2,Unknown,EcoliAn,EcoliPputida,BG3_RI_1,b,,,,171,,20,uL,,HPLC_OA_RI,,,positive,0,0
BG4_RI_1,E. coli Anaerobic Dilution 2,Unknown,EcoliAn,EcoliPputida,BG4_RI_1,b,,,,172,,20,uL,,HPLC_OA_RI,,,positive,0,0
BG5_RI_1,E. coli Anaerobic Dilution 1,Unknown,EcoliAn,EcoliPputida,BG5_RI_1,b,,,,173,,20,uL,,HPLC_OA_RI,,,positive,0,0
BG6_RI_1,E. coli Anaerobic Dilution 1,Unknown,EcoliAn,EcoliPputida,BG6_RI_1,b,,,,174,,20,uL,,HPLC_OA_RI,,,positive,0,0
BG7_RI_1,E. coli Anaerobic Dilution 1,Unknown,EcoliAn,EcoliPputida,BG7_RI_1,b,,,,175,,20,uL,,HPLC_OA_RI,,,positive,0,0
BG8_RI_1,E. coli Anaerobic Dilution 1,Unknown,EcoliAn,EcoliPputida,BG8_RI_1,b,,,,176,,20,uL,,HPLC_OA_RI,,,positive,0,0
BG9_RI_1,Water,Blank,Water,EcoliPputida,BG9_RI_1,b,,,,177,,20,uL,,HPLC_OA_RI,,,positive,0,0
